id,commune_name,commune_name_ascii,daira_name,daira_name_ascii,wilaya_code,wilaya_name,wilaya_name_ascii,osm_id
106,قصر الصباحي,Ksar Sbahi,قصر الصباحي,Ksar Sbahi,04,أم البواقي,Oum El Bouaghi,4487146
107,مسكيانة,Meskiana,مسكيانة,Meskiana,04,أم البواقي,Oum El Bouaghi,4491932
108,وادي نيني,Oued Nini,فكيرينة,F'kirina,04,أم البواقي,Oum El Bouaghi,4491789
109,أولاد قاسم,Ouled Gacem,عين مليلة,Ain M'lila,04,أم البواقي,Oum El Bouaghi,3672487
110,أولاد حملة,Ouled Hamla,عين مليلة,Ain M'lila,04,أم البواقي,Oum El Bouaghi,4432661
111,أولاد زواي,Ouled Zouai,سوق نعمان,Souk Naamane,04,أم البواقي,Oum El Bouaghi,4469615
112,أم البواقي,Oum El Bouaghi,أم البواقي,Oum El Bouaghi,04,أم البواقي,Oum El Bouaghi,4469695
113,الرحية,Rahia,مسكيانة,Meskiana,04,أم البواقي,Oum El Bouaghi,4491702
114,سيقوس,Sigus,سيقوس,Sigus,04,أم البواقي,Oum El Bouaghi,3669909
115,سوق نعمان,Souk Naamane,سوق نعمان,Souk Naamane,04,أم البواقي,Oum El Bouaghi,4432660
116,الزرق,Zorg,عين البيضاء,Ain Beida,04,أم البواقي,Oum El Bouaghi,4489766
117,عين جاسر,Ain Djasser,عين جاسر,Ain Djasser,05,باتنة,Batna,5216386
118,عين التوتة,Ain Touta,عين التوتة,Ain Touta,05,باتنة,Batna,5181217
119,عين ياقوت,Ain Yagout,المعذر,El Madher,05,باتنة,Batna,5240863
120,أريس,Arris,أريس,Arris,05,باتنة,Batna,5201972
121,عزيل عبد القادر,Azil Abedelkader,الجزار,Djezzar,05,باتنة,Batna,5160749
122,بريكة,Barika,بريكة,Barika,05,باتنة,Batna,7157031861
123,باتنة,Batna,باتنة,Batna,05,باتنة,Batna,4224144
124,بني فضالة الحقانية,Beni Foudhala El Hakania,عين التوتة,Ain Touta,05,باتنة,Batna,5195901
125,بيطام,Bitam,بريكة,Barika,05,باتنة,Batna,5177042
126,بولهيلات,Boulhilat,الشمرة,Chemora,05,باتنة,Batna,5241047
127,بومقر,Boumagueur,نقاوس,N'gaous,05,باتنة,Batna,5175546
128,بومية,Boumia,المعذر,El Madher,05,باتنة,Batna,5240975
129,بوزينة,Bouzina,بوزينة,Bouzina,05,باتنة,Batna,5196080
130,الشمرة,Chemora,الشمرة,Chemora,05,باتنة,Batna,5241205
131,شير,Chir,ثنية العابد,Theniet El Abed,05,باتنة,Batna,5201376
132,جرمة,Djerma,المعذر,El Madher,05,باتنة,Batna,5229598
133,الجزار,Djezzar,الجزار,Djezzar,05,باتنة,Batna,5175823
134,الحاسي,El Hassi,عين جاسر,Ain Djasser,05,باتنة,Batna,5209309
135,المعذر,El Madher,المعذر,El Madher,05,باتنة,Batna,5230088
136,فسديس,Fesdis,باتنة,Batna,05,باتنة,Batna,4633179
137,فم الطوب,Foum Toub,إشمول,Ichemoul,05,باتنة,Batna,5234253
138,غسيرة,Ghassira,تكوت,Tkout,05,باتنة,Batna,5202030
139,القصبات,Gosbat,رأس العيون,Ras El Aioun,05,باتنة,Batna,5175666
140,القيقبة,Guigba,رأس العيون,Ras El Aioun,05,باتنة,Batna,5149244
141,حيدوسة,Hidoussa,مروانة,Merouana,05,باتنة,Batna,4864578
142,إشمول,Ichemoul,إشمول,Ichemoul,05,باتنة,Batna,5231289
143,إينوغيسن,Inoughissen,إشمول,Ichemoul,05,باتنة,Batna,5204390
144,كيمل,Kimmel,تكوت,Tkout,05,باتنة,Batna,5204368
145,قصر بلزمة,Ksar Bellezma,مروانة,Merouana,05,باتنة,Batna,5207822
146,لارباع,Larbaa,بوزينة,Bouzina,05,باتنة,Batna,5195935
147,لازرو,Lazrou,سريانة,Seriana,05,باتنة,Batna,5229570
148,لمسان,Lemcene,أولاد سي سليمان,Ouled Si Slimane,05,باتنة,Batna,5147423
149,إمدوكل,M Doukal,بريكة,Barika,05,باتنة,Batna,5177026
150,معافة,Maafa,عين التوتة,Ain Touta,05,باتنة,Batna,5195796
151,منعة,Menaa,منعة,Menaa,05,باتنة,Batna,5200833
152,مروانة,Merouana,مروانة,Merouana,05,باتنة,Batna,4864533
153,نقاوس,N Gaous,نقاوس,N'gaous,05,باتنة,Batna,5149366
154,وادي الشعبة,Oued Chaaba,باتنة,Batna,05,باتنة,Batna,4633383
155,وادي الماء,Oued El Ma,مروانة,Merouana,05,باتنة,Batna,5226549
156,وادي الطاقة,Oued Taga,ثنية العابد,Theniet El Abed,05,باتنة,Batna,5234317
157,أولاد عمار,Ouled Ammar,الجزار,Djezzar,05,باتنة,Batna,5175812
158,أولاد عوف,Ouled Aouf,عين التوتة,Ain Touta,05,باتنة,Batna,5176250
159,أولاد فاضل,Ouled Fadel,تيمقاد,Timgad,05,باتنة,Batna,5241219
